"position_id","position_name","position_preference","description"
"BURGER_3","notable burgher","64","At this standing they have become figures of notable prosperity within the chartered city, beholden to few tasks beyond maintaining its good repute. Their living spaces expand with polished stone, crafted timber and shiny artifacts, not so subtle signs that they now dwell on the easier side of the republic's labor."
"CITIZEN_2","recognized citizen","85","Recognized now not only for labor but for judgment, they shoulder the quiet weight of order. From among them emerges the first keeper of justice - the bailiff - appointed so that fairness may take root before law is written."
"BURGER_2","recognized burgher","65","Further settled into the life of a free republic, they shoulder little beyond the obligations of decency, their responsibilities far gentler than in their citizen days. Their quarters grow correspondingly refined, and they make no secret of expecting such comforts now that the Merchants' Guild has placed its seal upon the city."
"CITIZEN_1_TRADER","full citizen","NONE","With the settlement taking form, they refine their quarters, allowing themselves a measure of comfort befitting those who endure the brunt of early hardship. A small elevation, yet a sign that the city begins to breathe."
"CITIZEN_1","full citizen","NONE","With the settlement taking form, they refine their quarters, allowing themselves a measure of comfort befitting those who endure the brunt of early hardship. A small elevation, yet a sign that the city begins to breathe."
"CITIZEN_0","sworn citizen","NONE","Among the first to claim a place within the rising walls, they carve out quarters of their own. An earned shelter for those upon whose shoulders all others stand."
"CITIZEN_0_TRADER","sworn citizen","NONE","Among the first to claim a place within the rising walls, they carve out quarters of their own. An earned shelter for those upon whose shoulders all others stand."
"FUNC_CITIZEN_0_GATEKEEPER","freeholder","NONE","This position only exists for promotion purposes, it should never stay filled by a unit. (1)"
"SETTLER_BASE1","settler","NONE","Among the first, the settler set boot and hammer to stone, before rank or privilege was forged. By shared toil they laid the foundation of a city yet to rise. Their endeavor is no respite, but a burden carried from the beginning."
"SETTLER_BASE2","settler","NONE","Among the first, the settler set boot and hammer to stone, before rank or privilege was forged. By shared toil they laid the foundation of a city yet to rise. Their endeavor is no respite, but a burden carried from the beginning."
"SETTLER_TRADER1","settler","NONE","Among the first, the settler set boot and hammer to stone, before rank or privilege was forged. By shared toil they laid the foundation of a city yet to rise. Their endeavor is no respite, but a burden carried from the beginning."
"SETTLER_TRADER2","settler","NONE","Among the first, the settler set boot and hammer to stone, before rank or privilege was forged. By shared toil they laid the foundation of a city yet to rise. Their endeavor is no respite, but a burden carried from the beginning."
"SETTLER_TRADER1b","settler","NONE","This is your only opportunity to select a broker until a population of 50 is reached. If you don't, once you unpause, one of the settlers will be automatically selected to act as broker."
"PATRICIAN_1","patrician","7","They are recognized as aristocrats of the capital, wealthy by position rather than office. Their lives unfold in cultivated comfort, shaped by the city's centrality and its steady abundance. They expect deference as a matter of course, though still observe the outward forms of civic restraint."
"PATRICIAN_2","esteemed patrician","6","As aristocrats they grow openly rich, their households expanding in scale and refinement. Prosperity gathers around them with little explanation, and they begin to compare their standing not to citizens, but to lesser courts. Requests for exceptional lodging are made softly, framed as convenience."
"PATRICIAN_3","honored patrician","5","Here they are, living in lavish surroundings that rival princely estates. Their presence reshapes protocol, and accommodations once reserved for visiting rulers are no longer unthinkable. Such expectations raise brows, yet are often granted to avoid offense."
"PATRICIAN_4","grand patrician","3","At this height, living in open splendor, their estates mirroring royal courts in scale and ceremony. They measure themselves against kings without irony, and treat monarchic honors as fitting recognition. Objections persist, but tradition bends under their abundance."
"PATRICIAN_5","most serene patrician","2","They stand like monarchs in all but crown, extravagantly secure and unchallenged. Royal quarters are assumed, their lifestyle indistinguishable from sovereign rule. The capital may deny them kingship, yet indulges them as though it had already conceded it."
"DOCTOR","doctor","115","The doctor is responsible for the health and well-being of the settlement's inhabitants. They require adequate facilities and resources to perform their duties effectively."
"RG_CAPTAIN","republican guard captain","120","The captain of the republican guard is an officer in the republican military, responsible for leading a squad of 8 soldiers and are considered the only professional soldiers of the republic. Due to their esteemed position, they require comfortable living quarters befitting their status. - The republican guard consist of 24 guards, divided into three squads of 8 soldiers each. Only the capital is allowed to deploy a republican guard."
"MG_CAPTAIN","municipal guard captain","122","The captain of the municipal guard is an officer in the republican military, responsible for leading a squad of 8 soldiers and is entrusted with escorting tax collectors and patrolling the borders. Due to their esteemed position, they require comfortable living quarters befitting their status. - The municipal guard consist of 8 guards. Only the mercantile cities are allowed to deploy a municipal guard."
"CG_CAPTAIN","civic guard captain","124","The captain of the civic guard is an officer in the republican military, responsible for leading a squad of 8 soldiers and are entrusted the protection of the interests of the citizens. Due to their esteemed position, they require comfortable living quarters befitting their status. - The civic guard consist of 8 guards. Only the settlements with a minimum population of 170 are allowed to deploy a civic guard."
"MARSHAL","marshal","95","The Marshal is the second highest-ranking officer of the republican military. Although not directly responsible for command, they are indispensable in preparing missions. Due to their high status, they demand lavish living quarters."
"EXECUTIONER_HAMMER","executioner (hammer)","118","The executioner (hammer) is responsible for carrying out capital punishments within the settlement. They require specialized skills in using the chosen method of execution. Any of the executioner types may be appointed by the player, giving the option to select the preferred method of execution. - Executioners are appointable when the settlement becomes the capital of the republic."
"EXECUTIONER_AXE","executioner (axe)","117","The executioner (axe) is responsible for carrying out capital punishments within the settlement. They require specialized skills in using the chosen method of execution. Any of the executioner types may be appointed by the player, giving the option to select the preferred method of execution. - Executioners are appointable when the settlement becomes the capital of the republic."
"EXECUTIONER_SPEAR","executioner (spear)","116","The executioner (spear) is responsible for carrying out capital punishments within the settlement. They require specialized skills in using the chosen method of execution. Any of the executioner types may be appointed by the player, giving the option to select the preferred method of execution. - Executioners are appointable when the settlement becomes the capital of the republic."
"INQUISITOR","inquisitor","115","The inquisitor is responsible for investigating and rooting out heresy and dissent within the settlement. Inquisitors are only assigned for conquered settlements."
"BAILIFF","bailiff","110","The bailiff is the chief law enforcement officer of the settlement, responsible for maintaining order and overseeing the constables. Due to their high status, they demand comfortable living quarters. The bailiff commands two constables who assist in law enforcement duties throughout the settlement."
